LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person
E01000006,1.002834199338687,1.004723665564478,1.0174775625885688,1.0018894662257911,1.000472366556448,1.0037789324515825,1.002361832782239,1.0085025980160605,1.0127538970240908,1.0250354274917335
E01000007,1.0196005917159763,1.007026627218935,1.0628698224852071,1.0051775147928994,1.007026627218935,1.0281065088757397,1.0232988165680474,1.066198224852071,1.0114644970414202,1.107248520710059
E01000008,1.020702634880803,1.0112923462986199,1.035759096612296,1.0043914680050188,1.0037641154328734,1.0106649937264742,1.006900878293601,1.047051442910916,1.0376411543287327,1.066499372647428
E01000009,1.0178662582950484,1.0163348647269015,1.037263910158244,1.004594180704441,1.0035732516590097,1.0209290454313424,1.0178662582950484,1.0459418070444104,1.0142930066360387,1.0842266462480858
E01000010,1.0334246575342465,1.0158904109589042,1.0657534246575342,1.0032876712328767,1.0043835616438357,1.0405479452054796,1.0306849315068494,1.2616438356164383,1.0301369863013699,1.130958904109589
E01000011,1.0096976611523103,1.0045636052481461,1.0125499144324015,1.0034227039361094,1.0011409013120365,1.0057045065601826,1.0045636052481461,1.01312036508842,1.0096976611523103,1.0479178551055335
E01000012,1.0075885328836425,1.0050590219224282,1.0185497470489038,1.0025295109612142,1.0029510961214165,1.0075885328836425,1.0025295109612142,1.0109612141652613,1.0122259696458684,1.044266441821248
E01000013,1.0157181571815719,1.0157181571815719,1.021680216802168,1.002710027100271,1.002168021680217,1.0184281842818428,1.0124661246612465,1.0563685636856368,1.016260162601626,1.0937669376693766
E01000014,1.0094117647058825,1.0094117647058825,1.0070588235294118,1.001764705882353,0.0,1.0082352941176471,1.0011764705882353,1.0088235294117647,1.0235294117647058,1.051764705882353
E01000015,1.0125260960334028,1.0075156576200417,1.008768267223382,1.003340292275574,1.0,1.005427974947808,1.001670146137787,1.0079331941544885,1.0125260960334028,1.04258872651357
E01000016,1.0063254744105807,1.0115008625646924,1.0109258194364577,1.0023001725129386,1.0005750431282345,1.0051753881541114,1.0011500862564693,1.0138010350776308,1.0138010350776308,1.034502587694077
E01000017,1.009308510638298,1.0086436170212767,1.0039893617021276,1.0,0.0,1.0033244680851063,1.0053191489361701,1.011968085106383,1.0159574468085106,1.045877659574468
