,Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon
54,54,Francis House,3350000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP,51.4804912,-0.1871004
55,55,Wendle Square,1000000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS,51.4757671,-0.1655141
56,56,Rectory Road,2350000,House,2511,4,4,4,Barnes,London,SW13 0DX,51.4730393,-0.2404433
57,57,Thames Quay,2095000,Flat / Apartment,1528,3,3,3,Chelsea Harbour,London,SW10 0UY,51.4755103,-0.1801983
58,58,Prince Edward Mansions,1250000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA,51.5119816,-0.1933875
59,59,Harbut Road,735000,Flat / Apartment,969,2,2,2,,London,SW11 2RE,51.4624778,-0.1771606
60,60,Chasefield Road,875000,House,1132,4,4,4,Tooting,London,SW17 8LW,51.4290825,-0.1618596
61,61,Fernwood Avenue,1250000,House,2498,6,6,6,,London,SW16 1RD,51.42893960000001,-0.1334536
62,62,Havilland Mews,595000,Flat / Apartment,643,2,2,2,,London,W12 8BG,51.5053755,-0.2343707
63,63,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL,51.633804,-0.4156925
64,64,Gatehill Road,2595000,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF,51.6108963,-0.4120855
65,65,St. Davids Mews,820000,House,974,3,3,3,Morgan Street,London,E3 5AZ,51.5269194,-0.0357122
66,66,Chester Close South,830000,Flat / Apartment,850,2,2,2,Regent's Park,London,NW1 4JG,51.5281497,-0.1449408
67,67,Lady Somerset Road,500000,Flat / Apartment,458,1,1,1,Kentish Town,London,NW5 1TX,51.5546073,-0.142739
68,68,Nicholas Way,2500000,House,5999,7,7,7,Northwood,Middlesex,HA6 2TR,51.6046118,-0.4383557
69,69,Queens Grove,7500000,House,3851,6,6,6,St John's Wood,London,NW8 6EN,51.537356,-0.1746172
70,70,Enmore Road,749950,Flat / Apartment,1382,3,3,3,Putney,London,SW15 6LL,51.4605489,-0.2255492
71,71,The Chase,480000,Flat / Apartment,448,1,1,1,,London,SW4 0NP,51.4640618,-0.1468355
72,72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB,51.520077,-0.1468257
73,73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX,51.5224586,-0.1455902
74,74,Ternary Place,650000,New development,1023,2,2,2, Ealing,London,W5 3HJ,51.5160765,-0.2908447
75,75,Weston Park,1050000,House,1693,4,4,4,Thames Ditton,Surrey,KT7 0HQ,51.3833103,-0.3453748
76,76,Lysias Road,1300000,House,1890,5,5,5,,London,SW12 8BW,51.4506633,-0.1514364
77,77,Prince Henry Road,625000,House,1348,4,4,4,Kidbrooke,London,SE7 8PP,51.4761454,0.0401557
78,78,Kirby Street,625000,Flat / Apartment,540,1,1,1,Clerkenwell,London,EC1N 8TE,51.5199258,-0.107495
79,79,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN,51.4967412,-0.1315361
80,80,Walton Street,5950000,House,2646,4,4,4,,London,SW3 1RE,51.4975503,-0.1634007
81,81,Chatto Road,1325000,House,1375,4,4,4,,London,SW11 6LL,51.4557139,-0.1603728
82,82,Redcliffe Square,1250000,Flat / Apartment,1068,2,2,2,,London,SW10 9JY,51.48862219999999,-0.188953
83,83,Elm Park Lane,2300000,House,1119,3,3,3,,London,SW3 6DB,51.4866953,-0.1777656
84,84,Fassett Square,1500000,House,1811,4,4,4,Hackney,London,E8 1DQ,51.5468553,-0.06543059999999999
85,85,Haverhill Road,1350000,House,1603,5,5,5,,London,SW12 0HD,51.4438075,-0.1415537
86,86,Duckman Tower,799995,Flat / Apartment,942,3,3,3, Canary Wharf,London,E14 9BL,51.4984653,-0.0196184
87,87,St. Stephens Crescent,795000,Flat / Apartment,495,1,1,1,,London,W2 5QT,51.5180701,-0.1945879
88,88,West Grove,525000,House,829,2,2,2,Woodford Green,Essex,IG8 7NP,51.6104353,0.0416365
89,89,Ackmar Road,2595000,House,2120,5,5,5,Fulham,London,SW6 4UP,51.4748538,-0.1994198
90,90,Romney House,820000,Flat / Apartment,631,2,2,2, Westminster,London,SW1P 3DS,51.4959736,-0.1285132
91,91,Seymour Gardens,1200000,House,2108,4,4,4,Surbiton,Surrey,KT5 8QE,51.3942363,-0.2920831
92,92,Sycamore Gardens,680000,Flat / Apartment,705,2,2,2,,London,W6 0AP,51.5002199,-0.2300027
93,93,Quarrendon Street,2300000,House,1956,3,3,3,,London,SW6 3SU,51.4727317,-0.1959178
94,94,Meredyth Road,2300000,House,2083,5,5,5,Barnes,London,SW13 0DS,51.4735497,-0.2408989
95,95,Baronsmead Road,4000000,House,3714,5,5,5,Barnes,London,SW13 9RR,51.47733359999999,-0.2401629
96,96,Sisters Avenue,500000,Flat / Apartment,516,2,2,2,,London,SW11 5SQ,51.4633477,-0.1597349
97,97,Warrington Gardens,1275000,Flat / Apartment,1185,3,3,3,Little Venice,London,W9 2PZ,51.5238021,-0.1843422
98,98,Pembroke Villas,4500000,House,2972,3,3,3,,London,W8 6PG,51.4957655,-0.1984849
99,99,North End Road,1750000,House,2125,4,4,4,Hampstead,London,NW11 7SY,51.5699271,-0.1873822
100,100,Heath Hurst Road,2600000,House,2350,4,4,4,Hampstead,London,NW3 2RU,51.5548645,-0.1676844
101,101,Tercelet Terrace,3450000,House,2354,4,4,4, Hampstead,London,NW3 7LW,51.5566103,-0.1828048
102,102,Kersley Street,2350000,House,2183,5,5,5,,London,SW11 4PR,51.4730346,-0.1644429
103,103,Buckingham Gate,2375000,Flat / Apartment,1218,2,2,2,St. James's,London,SW1E 6LB,51.4996065,-0.1403806
104,104,Camelot Close,1995000,House,1841,5,5,5,Wimbledon,London,SW19 7EA,51.4313497,-0.2025401
105,105,Clarendon Close,1000000,House,1154,4,4,4,South Hackney,London,E9 7BY,51.5396225,-0.0484466
106,106,Klea Avenue,1795000,House,2314,5,5,5,,London,SW4 9HG,51.4538456,-0.1416931
107,107,Manor Place Depot,687500,New development,1178,3,3,3,,London,SE17 3BD,51.4890582,-0.0972214
108,108,Molyneux Street,2450000,House,1483,3,3,3,,London,W1H 5HW,51.5178835,-0.1640239
109,109,Gatti House,3500000,Flat / Apartment,1770,2,2,2,410 Strand,London,WC2R 0NR,51.5101538,-0.1228015
110,110,Stanmore Way,1225000,New development,2487,5,5,5,Loughton,Essex,IG10 2SA,51.66254619999999,0.06951439999999999
111,111,Thornhill Crescent,850000,Flat / Apartment,773,2,2,2,Barnsbury,London,N1 1BJ,51.541315,-0.1144814
112,112,Belsize Square,780000,Flat / Apartment,654,2,2,2,,London,NW3 4HL,51.5474211,-0.1689931
113,113,Ditton Grove,399950,New development,697,2,2,2,Esher,Surrey,KT10 9FN,51.3765693,-0.3552015
114,114,Sylvan Gardens,1499950,House,2982,5,5,5,Surbiton,Surrey,KT6 6PP,51.3858391,-0.3108344
115,115,Milton Road,900000,House,1081,3,3,3,,London,SW14 8JP,51.4660153,-0.2657644
116,116,Drakefield Road,2500000,House,3986,6,6,6,,London,SW17 8RR,51.4347115,-0.1538069
117,117,Chiswick High Road,575000,Flat / Apartment,773,2,2,2,Chiswick,London,W4 4AG,51.49245459999999,-0.2725262
118,118,Bewick Street,1250000,House,1708,5,5,5,,London,SW8 3TA,51.4705057,-0.147165
119,119,Overstrand Mansions,1575000,Flat / Apartment,1580,3,3,3,Prince of Wales Drive,London,SW11 4EZ,51.4751456,-0.1574173
120,120,Somerset Road,4750000,House,6602,6,6,6,Wimbledon,London,SW19 5JZ,51.4339564,-0.2201483
121,121,Burleigh Place,1175000,House,1909,4,4,4,Putney,London,SW15 6ES,51.45904239999999,-0.2193026
122,122,Smarts Lane,695000,House,1337,3,3,3,Loughton,Essex,IG10 4BU,51.646496,0.0529843
123,123,Freshford Street,1200000,House,1771,4,4,4,,London,SW18 3TF,51.43639049999999,-0.1853356
124,124,Ellerton Road,1700000,House,2374,5,5,5,Wandsworth,London,SW18 3NH,51.44208889999999,-0.1747058
125,125,Ladbroke Crescent & Basement,1000000,House,2125,2,2,2,131 Ladbroke Grove,London,W11 1PS,51.5159512,-0.2100648
126,126,Barts Square,1635000,New development,903,2,2,2, City Of London,London,EC1A 9DS,51.5186016,-0.1001267
127,127,Elizabeth Place,625000,Flat / Apartment,902,2,2,2, Esher,Surrey,KT10 8AP,51.3779103,-0.3700834
128,128,Gleneldon Road,1850000,House,3753,6,6,6,,London,SW16 2BZ,51.42700929999999,-0.1218373
129,129,Windsor Court,2400000,Flat / Apartment,1736,4,4,4, Bayswater,London,W2 4SN,51.5127314,-0.1895243
130,130,Southbank Place,1200000,New development,590,1,1,1, South Bank,London,SE1 7NJ,51.5029885,-0.1156322
131,131,The oTTo,785000,New development,1173,2,2,2, The Otto Buildings,Downs Road,E5 8DS,51.5558913,-0.0577192
132,132,Haldane Road,1250000,House,1298,2,2,2,,London,SW6 7EU,51.482755,-0.2021334
133,133,Chipstead Street,2300000,House,1912,3,3,3, Fulham,London,SW6 3SS,51.4730702,-0.1951269
134,134,Ruxley Crescent,1800000,New development,3877,4,4,4, Esher,Surrey,KT10 0TX,51.35810420000001,-0.3245217
135,135,Sydney House,1300000,Flat / Apartment,1465,3,3,3,Woodstock Road,London,W4 1DP,51.4967802,-0.255521
136,136,Waldemar Avenue,1750000,House,1580,4,4,4,Fulham,London,SW6 5NA,51.4731759,-0.2108327
137,137,Newstead Way,1495000,House,2300,4,4,4,,London,SW19 5HR,51.4329607,-0.2173528
138,138,Crescent Road,1855000,House,2917,5,5,5,Kingston upon Thames,Surrey,KT2 7RD,51.4194694,-0.2834483
139,139,Melody Road,1625000,House,1953,4,4,4,,London,SW18 2QF,51.456544,-0.1836297
140,140,Hasker Street,3150000,House,1449,3,3,3,,London,SW3 2LE,51.49479179999999,-0.1652692
141,141,Spring Terrace,5250000,House,4745,7,7,7,Richmond,Surrey,TW9 1LW,51.4605525,-0.2998725
142,142,Montague Road,6000000,House,4798,6,6,6,Richmond,Surrey,TW10 6QW,51.4558167,-0.2988536
143,143,Fairfax Mews,1395000,House,1902,5,5,5,Putney,London,SW15 6FF,51.4622432,-0.2263904
144,144,Fairacres,1385000,Flat / Apartment,2056,3,3,3, Putney,London,SW15 5LX,51.4616054,-0.2443667
145,145,Clapham Common South Side,800000,Flat / Apartment,922,2,2,2,,London,SW4 9DX,51.4529738,-0.1468381
146,146,Ormond Yard,3695000,House,2316,4,4,4,St James's,London,SW1Y 6JT,51.5081724,-0.1367172
147,147,Cadogan Square,2200000,Flat / Apartment,1195,2,2,2,,London,SW1X 0JL,51.4959044,-0.1616661
148,148,Cadogan Square,1175000,Flat / Apartment,687,2,2,2,,London,SW1X 0JL,51.4959044,-0.1616661
149,149,Aubrey Walk,9500000,House,4815,5,5,5,,London,W8 7JG,51.506524,-0.2010535
150,150,Oakwood Court,3100000,Flat / Apartment,2470,4,4,4,Holland Park,London,W14 8JS,51.4997303,-0.2066521
151,151,Barnsbury Park,5500000,House,3674,4,4,4,Islington,London,N1 1HQ,51.5428539,-0.1089663
152,152,Fieldsway House,925000,Flat / Apartment,1012,3,3,3, Highbury,London,N5 1QA,51.5494126,-0.1052614
153,153,Long & Waterson Apartments,550000,Penthouse,414,1,1,1, Hackney,London,E2 8HN,51.52905,-0.0765554
154,154,Mare Street,260000,Studio,381,0,0,0,Hackney,London,E8 3RH,51.5394789,-0.0565861
155,155,Reliance Wharf,550000,Flat / Apartment,547,1,1,1,Hertford Road,London,N1 5ET,51.5369587,-0.0787992
156,156,Gayton Road,2400000,House,2202,5,5,5,Hampstead,London,NW3 1TU,51.556334,-0.1754297
157,157,Ram Quarter,580000,New development,460,1,1,1, Wandsworth,London,SW18 1TH,51.4589077,-0.1911078
158,158,Grimston Road,2300000,House,2785,5,5,5,Fulham,London,SW6 3QR,51.4702203,-0.2069023
159,159,Balham Grove,1200000,House,1270,3,3,3,,London,SW12 8BE,51.4483633,-0.1527095
