,Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon
995,995,Wards Wharf Approach,300000,Flat / Apartment,517,1,1,1,Newham,London,E16 2ER,51.5010031,0.0379957
996,996,Junction House,510000,New development,577,1,1,1, Battersea,London,SW11 2NU,51.4652283,-0.1707307
997,997,Foskett Road,350000,Flat / Apartment,302,1,1,1,Fulham,London,SW6 3LY,51.4709032,-0.2051044
998,998,Sinclair Gardens,875000,Flat / Apartment,981,2,2,2,Brook Green,London,W14 0AU,51.5021922,-0.2165406
999,999,Kingston Vale,1095000,House,2642,3,3,3,Kingston,London,SW15 3RN,51.4336935,-0.2619671
1000,1000,Eversley Park,3350000,House,3256,5,5,5,Wimbledon,London,SW19 4UU,51.4246886,-0.2364604
1001,1001,Ridgmount Road,1350000,House,1723,4,4,4,,London,SW18 2DA,51.456124,-0.1884541
1002,1002,Regents Park Road,950000,Flat / Apartment,817,2,2,2,,London,NW1 7TL,51.5378461,-0.1502134
1003,1003,Green Lane,1275000,House,2711,5,5,5,Oxhey,Hertfordshire,WD19 4NJ,51.6408455,-0.3925832
1004,1004,Manchuria Road,975000,Flat / Apartment,1013,2,2,2,,London,SW11 6AE,51.45426579999999,-0.1552061
1005,1005,Wellington Square,3950000,House,2530,6,6,6,Chelsea,London,SW3 4NW,51.489023,-0.1621158
1006,1006,The Gatehouse,475000,Flat / Apartment,650,2,2,2,1 Tiltman Place,London,N7 7EE,51.56133800000001,-0.1159327
1007,1007,Tollington Way,575000,New development,840,2,2,2, London,N7 6QX,N7 6RG,51.56172840000001,-0.1228995
1008,1008,The Stack,599950,New development,930,3,3,3,Homerton,London,E9 6HP,51.5459627,-0.0425217
1009,1009,Marcon Place,585000,Flat / Apartment,881,2,2,2,Hackney,London,E8 1LP,51.5480811,-0.0607054
1010,1010,Lyndale Avenue,1750000,House,2223,4,4,4,Childs Hill,London,NW2 2QA,51.5605747,-0.1996276
1011,1011,The Butts,2950000,House,4034,6,6,6,Brentford,Middlesex,TW8 8BJ,51.4850246,-0.3088003
1012,1012,St. Dunstans Avenue,950000,House,1258,4,4,4,Acton,London,W3 6QH,51.5158407,-0.2607163
1013,1013,South Bank Tower,910000,Flat / Apartment,683,1,1,1, South Bank,London,SE1 9EY,51.5076456,-0.1071827
1014,1014,Criffel Avenue,1849950,House,2372,5,5,5,Streatham,London,SW2 4AY,51.4414761,-0.1301079
1015,1015,Ranelagh Mansions,700000,Flat / Apartment,758,2,2,2,New Kings Road,London,SW6 4RH,51.4717388,-0.2044669
1016,1016,Bradmore Park Road,1275000,House,1419,3,3,3,,London,W6 0DT,51.4961233,-0.2320631
1017,1017,South Park Road,425000,Flat / Apartment,549,1,1,1,Wimbledon,London,SW19 8TA,51.4211409,-0.1907147
1018,1018,Rydens Road,1395000,House,3178,4,4,4,Walton-On-Thames,Surrey,KT12 3AA,51.37736049999999,-0.4065865
1019,1019,Grove End Road,3000000,House,2432,4,4,4,St John's Wood,London,NW8 9LY,51.5326791,-0.1768806
1020,1020,Richmond Hill,2975000,House,3352,6,6,6,Richmond,Surrey,TW10 6QX,51.4567834,-0.3028913
1021,1021,Deodar Road,775000,Flat / Apartment,990,2,2,2,Putney,London,SW15 2NJ,51.4631197,-0.2083178
1022,1022,Rectory Grove,4950000,House,4482,7,7,7,Clapham,London,SW4 0DZ,51.468194,-0.1397428
1023,1023,Muncaster Road,1850000,House,2088,4,4,4,,London,SW11 6NT,51.4590159,-0.1593332
1024,1024,Bishops Gate,649000,New development,560,1,1,1,82-88 Fulham High Street,London,SW6 3LF,51.4698561,-0.2107322
1025,1025,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW,51.5384288,-0.1078087
1026,1026,Amwell Court Estate,399950,Flat / Apartment,806,3,3,3, Finsbury Park,London,N4 2NY,51.5663198,-0.092583
1027,1027,Packington Street,500000,Flat / Apartment,527,1,1,1,,London,N1 7EA,51.5358179,-0.09651119999999999
1028,1028,Dalston Lane,1085000,House,1705,3,3,3,Hackney,London,E8 1NG,51.5474162,-0.06913269999999999
1029,1029,Bishops Road,1595000,House,1679,4,4,4,Fulham,London,SW6 7AS,51.47802739999999,-0.2075899
1030,1030,Winterdown Road,850000,House,1336,3,3,3,Esher,Surrey,KT10 8LP,51.3625761,-0.3848629
1031,1031,Gosberton Road,1500000,House,2084,5,5,5,,London,SW12 8LE,51.4458215,-0.1569135
1032,1032,Hoadly Road,2800000,House,4050,6,6,6,,London,SW16 1AF,51.4369701,-0.1362773
1033,1033,Landmark Place At Tower Bridge,1799995,New development,1236,2,2,2,Water Lane,London,EC3R 6EA,51.50914849999999,-0.0839907
1034,1034,Emlyn Road,2700000,House,2685,5,5,5,Stamford Brook,London,W12 9TD,51.4993151,-0.2494162
1035,1035,Berrymede Road,1150000,House,1301,4,4,4,Chiswick,London,W4 5JD,51.4999631,-0.2627618
1036,1036,Lonsdale Road,2475000,House,2406,5,5,5,Barnes,London,SW13 9DA,51.48497930000001,-0.2426917
1037,1037,Tyneham Road,799950,House,766,2,2,2,Battersea,London,SW11 5XR,51.4690921,-0.1544646
1038,1038,Eaton Square,2950000,Flat / Apartment,1181,2,2,2,Belgravia,London,SW1W 9DF,51.4957651,-0.1505209
1039,1039,Hazel Lane,2500000,House,4420,6,6,6,Richmond,Surrey,TW10 7AP,51.4417801,-0.3020085
1040,1040,New Road,950000,House,1397,3,3,3,Richmond,Surrey,TW10 7HY,51.4346827,-0.3117964
1041,1041,Fontarabia Road,595000,Flat / Apartment,683,1,1,1,,London,SW11 5PE,51.4634515,-0.1537562
1042,1042,Burland Road,1495000,House,1892,5,5,5,,London,SW11 6SA,51.4565475,-0.1619227
1043,1043,Southwold Mansions,625000,Flat / Apartment,693,2,2,2, Maida Vale,London,W9 2LF,51.5276885,-0.1937603
1044,1044,Clarendon Court,935000,Flat / Apartment,829,2,2,2,33 Maida Vale,Little Venice,W9 1AJ,51.5251256,-0.1780619
1045,1045,Albion Road,599995,Flat / Apartment,710,2,2,2,,London,N16 9PH,51.55391119999999,-0.08438899999999999
1046,1046,Elrington Road,1650000,House,2048,4,4,4,Hackney,London,E8 3BJ,51.5446896,-0.0660704
1047,1047,Waldeck Road,525000,New development,666,1,1,1,Ealing,London,W13 8LY,51.51686369999999,-0.3173207
1048,1048,Clapham Common South Side,800000,Flat / Apartment,992,2,2,2,,London,SW4 9DX,51.4529738,-0.1468381
1049,1049,Selkirk Road,995000,House,1716,5,5,5,,London,SW17 0EP,51.4305776,-0.1706328
1050,1050,Rookery Hill,1750000,House,3184,4,4,4,Ashtead,Surrey,KT21 1EG,51.3102439,-0.2932505
1051,1051,Snarsgate Street,775000,House,634,2,2,2,,London,W10 6QP,51.5191854,-0.2246546
1052,1052,Aspley Road,1595000,House,2287,5,5,5,,London,SW18 2DB,51.4556715,-0.1882705
1053,1053,Pinnacle House,1500000,Flat / Apartment,1438,3,3,3, Juniper Drive,London,SW18 1JE,51.4635129,-0.1853398
1054,1054,Eaton Square,3750000,Flat / Apartment,1550,2,2,2,Belgravia,London,SW1W 9BG,51.4941164,-0.1531808
1055,1055,Petersham Road,3250000,House,2989,4,4,4,Richmond,Surrey,TW10 7AH,51.44505909999999,-0.3036425
1056,1056,Eastfields Avenue,895000,Flat / Apartment,1039,2,2,2, Putney,London,SW18 1FU,51.4621073,-0.1968261
1057,1057,Sandmere Road,799999,Flat / Apartment,1076,3,3,3,,London,SW4 7QH,51.46249230000001,-0.1250456
1058,1058,Barnard Mews,650000,Duplex,890,2,2,2, Battersea,London,SW11 1QU,51.461381,-0.166796
1059,1059,Fitzwilliam Road,1395000,House,1918,3,3,3,,London,SW4 0DN,51.4661939,-0.1395073
1060,1060,Alderside Apartments,550000,New development,547,1,1,1, 35 Salusbury Road,London,NW6 6BF,51.5337056,-0.203788
1061,1061,The Watergardens,500000,Flat / Apartment,1008,3,3,3, Woodford Green,Essex,IG8 0GD,51.6102119,0.0265044
1062,1062,Buckingham Road,1550000,House,1378,3,3,3,De Beauvoir,London,N1 4HY,51.5446398,-0.0805381
1063,1063,Kings College Court,4950000,New development,3330,3,3,3,55 Primrose Hill Road,London,NW3 3EA,51.5440183,-0.1630149
1064,1064,Kings College Court,2850000,Flat / Apartment,1752,2,2,2,55 Primrose Hill Road,London,NW3 3EA,51.5440183,-0.1630149
1065,1065,Greensward House,2250000,Flat / Apartment,2557,3,3,3, Fulham,London,SW6 2TG,51.4713376,-0.184252
1066,1066,Ternary Place,595000,New development,807,2,2,2,North Ealing,London,W5 3HJ,51.5160765,-0.2908447
1067,1067,Wayneflete Tower Avenue,3300000,House,6309,5,5,5,Esher,Surrey,KT10 8QG,51.3733432,-0.3720989
1068,1068,Oaklands Road,1225000,House,1758,4,4,4,,London,SW14 8NJ,51.46721059999999,-0.2644953
1069,1069,Limehouse Wharf,1350000,Flat / Apartment,2264,2,2,2, Canary Wharf,London,E14 8BP,51.5085466,-0.0329867
1070,1070,Lime Quarter,545000,New development,773,2,2,2,Bow,London,E3 3PJ,51.5222057,-0.0179681
1071,1071,Leythe Road,1195000,House,1668,4,4,4,Acton,London,W3 8AW,51.5031882,-0.2674085
1072,1072,Carlton House,822500,New development,869,2,2,2, Putney,London,SW15 2BS,51.4592633,-0.2125427
1073,1073,Parliament View Apartments,1345000,Flat / Apartment,1030,3,3,3,1 Albert Embankment,London,SE1 7XL,51.4940102,-0.1204542
1074,1074,The Tower,1400000,Flat / Apartment,1145,2,2,2, Vauxhall,London,SW8 2BW,51.4850661,-0.1279949
1075,1075,Peninsula Heights,1750000,Flat / Apartment,1232,2,2,2,93 Albert Embankment,London,SE1 7TY,51.48944350000001,-0.1233645
1076,1076,Liverpool Road,2895000,House,3660,6,6,6,Kingston upon Thames,Surrey,KT2 7SX,51.4203961,-0.284708
1077,1077,Chester Close North,2350000,House,1844,4,4,4,Regent's Park,London,NW1 4JE,51.52975540000001,-0.144688
1078,1078,Elm Tree Court,1075000,Flat / Apartment,1142,3,3,3,Elm Tree Road,London,NW8 9JT,51.53046519999999,-0.1750372
1079,1079,Gayville Road,1350000,House,1637,4,4,4,,London,SW11 6JW,51.4526826,-0.1614734
1080,1080,Green Street,2250000,Flat / Apartment,1348,2,2,2,Mayfair,London,W1K 6RG,51.5130373,-0.15377
1081,1081,Northstand Apartments,699950,Flat / Apartment,787,2,2,2,Highbury Stadium Square,London,N5 1FN,51.55842149999999,-0.1034877
1082,1082,Highbury Hill,1425000,House,1761,3,3,3,Highbury,London,N5 1AU,51.5575386,-0.1050536
1083,1083,Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET,51.5369587,-0.0787992
1084,1084,Pattison Road,2950000,House,3300,5,5,5,,London,NW2 2HJ,51.5611474,-0.1941803
1085,1085,Ternary Place,645000,New development,904,2,2,2, Ealing,London,W5 3HJ,51.5160765,-0.2908447
1086,1086,Pavilion Park,995000,New development,1681,3,3,3, East Molesey,Surrey,KT8 9DX,51.4056693,-0.3577249
1087,1087,Sheen Common Drive,5500000,House,5453,6,6,6,Richmond,Surrey,TW10 5BN,51.4610606,-0.281672
1088,1088,Nightingale Square,2500000,House,2413,5,5,5,,London,SW12 8QJ,51.4478808,-0.1563413
1089,1089,Gaskarth Road,1200000,House,1585,4,4,4,,London,SW12 9NN,51.45138129999999,-0.1456504
1090,1090,Cambridge Road,1750000,House,1891,5,5,5,Barnes,London,SW13 0PG,51.4707762,-0.248464
1091,1091,Mirabel Road,725000,Flat / Apartment,924,3,3,3,Fulham,London,SW6 7EH,51.4812839,-0.2041354
1092,1092,Tyneham Road,850000,House,780,2,2,2,Battersea,London,SW11 5XR,51.4690921,-0.1544646
1093,1093,Princes Road,2249000,House,2600,5,5,5,Wimbledon,London,SW19 8RB,51.42107859999999,-0.1995197
1094,1094,Old York Road,475000,Flat / Apartment,598,1,1,1,,London,SW18 1TQ,51.4595657,-0.1894551
1095,1095,Tritton House,525000,New development,558,1,1,1,3 Ryeland Boulevard,London,SW18 1UF,51.4581695,-0.1928068
1096,1096,Gore Road,370000,Flat / Apartment,400,1,1,1,South Hackney,London,E9 7HW,51.5361348,-0.0447458
1097,1097,Calvin Street,2500000,Flat / Apartment,2132,2,2,2,Spitalfields,London,E1 6NW,51.5216541,-0.0744705
1098,1098,Hillside Rise,700000,Bungalow,1301,3,3,3,Northwood,Middlesex,HA6 1RR,51.6075394,-0.4085634
1099,1099,Bennerley Road,1595000,House,2046,4,4,4,,London,SW11 6DR,51.4577915,-0.167861
1100,1100,Delaware Mansions,715000,Flat / Apartment,764,2,2,2, Maida Vale,London,W9 2LL,51.5266307,-0.191063
1101,1101,Carlton Mansions,985000,Flat / Apartment,978,2,2,2, Maida Vale,London,W9 1NR,51.5314613,-0.1882474
1102,1102,Great Portland Street,4850000,Penthouse,1518,3,3,3,Fitzrovia,London,W1W 7LS,51.5183508,-0.1422978
1103,1103,The Uplands,1695000,House,3683,5,5,5,Loughton,Essex,IG10 1NH,51.6516619,0.06148679999999999
1104,1104,High Silver,1095000,House,1728,4,4,4,Loughton,Essex,IG10 4EL,51.6452415,0.0470591
1105,1105,Monkhams Avenue,1325000,House,2659,5,5,5,Woodford Green,Essex,IG8 0ER,51.6120457,0.0275827
1106,1106,Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA,51.5450428,-0.0815307
1107,1107,Bromyard House,350000,Flat / Apartment,420,1,1,1, Acton,London,W3 7FG,51.5081195,-0.2500585
1108,1108,Claremont Drive,2000000,House,3556,6,6,6,Esher,Surrey,KT10 9LU,51.3608026,-0.3665678
1109,1109,Lynwood Road,1095000,House,2442,5,5,5,Thames Ditton,Surrey,KT7 0DN,51.3797066,-0.3379171
1110,1110,York Avenue,3250000,House,3467,6,6,6,East Sheen,London,SW14 7LQ,51.459436,-0.2702458
1111,1111,Badminton Road,899950,Flat / Apartment,939,2,2,2,,London,SW12 8BN,51.4506516,-0.1524012
1112,1112,Landmark Place At Tower Bridge,2166000,New development,1236,2,2,2,Water Lane,London,EC3R 6EA,51.50914849999999,-0.0839907
1113,1113,Junction House,480000,New development,577,1,1,1, Battersea,London,SW11 2NU,51.4652283,-0.1707307
1114,1114,Elsham Road,825000,Flat / Apartment,869,2,2,2,Brook Green,London,W14 8HB,51.5018921,-0.213368
1115,1115,"Park Terrace, Warriner Gardens",2950000,New development,2768,4,4,4,Battersea,London,SW11 4XW,51.474298,-0.1584162
1116,1116,Southlands Drive,585000,Flat / Apartment,784,2,2,2,Wimbledon,London,SW19 5QF,51.4395146,-0.2201913
1117,1117,Smith Terrace,2975000,House,2041,3,3,3,Chelsea,London,SW3 4DL,51.4877043,-0.1634652
1118,1118,The Close,680000,House,1125,3,3,3,Richmond,Surrey,TW9 4QW,51.4681533,-0.2796636
1119,1119,Thornton Place,899000,New development,982,2,2,2,Clapham Common North Side,London,SW4 0AB,51.4616214,-0.149468
1120,1120,Shaftesbury,675000,House,1153,4,4,4,Loughton,Essex,IG10 1HN,51.650223,0.0512156
1121,1121,Upshirebury Green,475000,House,890,2,2,2,Waltham Abbey,Essex,EN9 3SU,51.6893017,0.0494227
1122,1122,Coppice Row,1265000,House,2568,5,5,5, Epping,Essex,CM16 7DN,51.67302859999999,0.0935525
1123,1123,Stokesheath Road,3500000,House,11077,6,6,6,Oxshott,Surrey,KT22 0PS,51.3426163,-0.3502712
1124,1124,Holland Street,3500000,House,2401,4,4,4,,London,W8 4NA,51.5029736,-0.1923896
1125,1125,John Spencer Square,599995,Flat / Apartment,528,1,1,1,,London,N1 2LZ,51.546143,-0.09882049999999999
1126,1126,Kingsland Road,550000,Flat / Apartment,736,2,2,2,Hackney,London,E8 4EG,51.5378838,-0.0770875
1127,1127,Calbourne Road,1325000,House,1595,4,4,4,,London,SW12 8LW,51.4468569,-0.1575626
1128,1128,Balham Park Road,2400000,House,2850,6,6,6,,London,SW12 8DZ,51.4439794,-0.161017
1129,1129,Streathbourne Road,2500000,House,3525,6,6,6,,London,SW17 8QY,51.43527419999999,-0.1529928
1130,1130,Phoenix Wharf,1150000,Flat / Apartment,1302,2,2,2, Limehouse,London,E14 8DQ,51.50996809999999,-0.0410823
1131,1131,Lock Side Way,550000,New development,1023,2,2,2,Royal Albert Wharf,London,E16 2QJ,51.5069502,0.0752674
1132,1132,City Walk Apartments,690000,Flat / Apartment,753,2,2,2, Clerkenwell,London,EC1V 3RF,51.5262526,-0.098352
1133,1133,Worship Street,1175000,Flat / Apartment,949,2,2,2,Clerkenwell,London,EC2A 2AH,51.5220111,-0.08528129999999999
1134,1134,Thornton Avenue,2000000,House,2222,5,5,5,Chiswick,London,W4 1QG,51.4939091,-0.2523317
1135,1135,Bishops Gate,1045000,New development,810,2,2,2, Fulham High Street,Fulham,SW6 3LF,51.4698561,-0.2107322
1136,1136,Yvon House,699950,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4GA,51.4747283,-0.1566133
1137,1137,Holden Street,900000,House,1223,3,3,3,Battersea,London,SW11 5UP,51.4690324,-0.1569579
1138,1138,Matthews Street,875000,House,1061,3,3,3,Battersea,London,SW11 5AB,51.4709509,-0.162885
1139,1139,King Edwards Road,1695000,House,1938,4,4,4,South Hackney,London,E9 7SF,51.5380225,-0.0544418
1140,1140,Lords View,845000,Flat / Apartment,960,2,2,2, St. John's Wood,London,NW8 7HL,51.5291487,-0.170188
1141,1141,Sovereign Mews,850000,House,1213,4,4,4, Hackney,London,E2 8ER,51.5326098,-0.0762717
1142,1142,Princelet Street,2000000,Flat / Apartment,2401,3,3,3,,Spitalfields,E1 6QH,51.5198696,-0.0725855
1143,1143,Eaton Square,3250000,Flat / Apartment,1509,1,1,1,Belgravia,London,SW1W 9DF,51.4957651,-0.1505209
1144,1144,Egbert Street,1750000,Flat / Apartment,1239,3,3,3,Primrose Hill,London,NW1 8LJ,51.5404117,-0.1532386
1145,1145,Heathside Close,1250000,House,1880,4,4,4,Moor Park,Middlesex,HA6 2EQ,51.6200377,-0.4305311
1146,1146,Birchside Apartments,550000,New development,562,1,1,1, Queens Park,London,NW6 5FS,51.53382149999999,-0.2031346
1147,1147,Wimpole Mews,1050000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD,51.52022119999999,-0.1485496
1148,1148,Portman Mansions,1095000,Flat / Apartment,945,1,1,1, Marylebone,London,W1U 6NT,51.5214763,-0.1562971
1149,1149,Upshirebury Green,1195000,House,2737,4,4,4,Waltham Abbey,Essex,EN9 3ST,51.6895929,0.0497397
1150,1150,Eldon Grove,1100000,Flat / Apartment,985,3,3,3,Hampstead,London,NW3 5PT,51.5536221,-0.1716291
1151,1151,Frognal Lane,3000000,Flat / Apartment,2427,4,4,4,Hampstead,London,NW3 7DU,51.5533067,-0.186658
1152,1152,Pursers Cross Road,2150000,House,2416,5,5,5,Fulham,London,SW6 4QZ,51.4761433,-0.2031708
1153,1153,Temple Sheen Road,1800000,House,2129,5,5,5,East Sheen,London,SW14 7RS,51.4616359,-0.2749132
1154,1154,Spencer Gardens,1295000,House,1248,3,3,3,,London,SW14 7AH,51.46062329999999,-0.2721011
1155,1155,Graveney Road,1125000,House,2137,5,5,5,,London,SW17 0EG,51.4292677,-0.1691027
1156,1156,Ravenswood Road,1025000,House,1556,4,4,4,,London,SW12 9PN,51.4475281,-0.1470873
1157,1157,Foxbourne Road,1675000,House,2346,5,5,5,,London,SW17 8EW,51.4391472,-0.1528079
1158,1158,Weltje Road,2750000,House,3251,7,7,7,Ravenscourt Park,London,W6 9LT,51.4918943,-0.2378737
1159,1159,Finborough Road,500000,Flat / Apartment,670,1,1,1,,London,SW10 9DA,51.4838575,-0.1855555
1160,1160,Dewhurst Road,2520000,House,2638,5,5,5,Brook Green,London,W14 0ES,51.4984589,-0.2200001
1161,1161,Sinclair Road,865000,Flat / Apartment,1023,2,2,2,,London,W14 0NP,51.50115779999999,-0.2153419
1162,1162,Lurline Gardens,700000,Flat / Apartment,875,2,2,2,Battersea,London,SW11 4DB,51.4765996,-0.1498128
1163,1163,Orbel Street,1350000,House,1295,3,3,3,Battersea,London,SW11 3NX,51.4735946,-0.1715051
1164,1164,Riverwalk,3450000,Flat / Apartment,1215,2,2,2, Westminster,London,SW1P 4FA,51.4887187,-0.1286519
1165,1165,Birdhurst Road,775000,Flat / Apartment,1066,3,3,3,,London,SW18 1AR,51.4594351,-0.183918
1166,1166,Wilna Road,1195000,House,1697,4,4,4,,London,SW18 3AY,51.44802490000001,-0.184601
1167,1167,Bradstock Road,725000,Penthouse,1200,3,3,3,Hackney,London,E9 5BZ,51.5437701,-0.0420821
1168,1168,Ashby Street,700000,Flat / Apartment,606,2,2,2,Clerkenwell,London,EC1V 0ED,51.5275752,-0.1011659
1169,1169,Seward Street,695000,Flat / Apartment,796,2,2,2,Clerkenwell,London,EC1V 3PA,51.52640599999999,-0.09782669999999999
1170,1170,Moor Lane,1299000,Flat / Apartment,827,2,2,2,City Of London,London,EC2Y 9BA,51.5199144,-0.0901549
1171,1171,Hans Road,5950000,Flat / Apartment,2817,3,3,3,Knightsbridge,London,SW3 1RW,51.4983573,-0.163253
1172,1172,Richmond Hill,595000,Flat / Apartment,786,2,2,2,Richmond,Surrey,TW10 6QX,51.4567834,-0.3028913
1173,1173,Onslow Avenue,2100000,House,2296,4,4,4,Richmond,Surrey,TW10 6QB,51.4578711,-0.2991371
1174,1174,Rotherwood Road,1475000,House,1894,4,4,4,Putney,London,SW15 1LA,51.4688442,-0.2216568
1175,1175,Larpent Avenue,2950000,House,3336,7,7,7,Putney,London,SW15 6UU,51.458249,-0.2292658
1176,1176,Granard Road,450000,Flat / Apartment,570,2,2,2,,London,SW12 8UJ,51.4497207,-0.1624127
1177,1177,Worcester Gardens,550000,Flat / Apartment,672,2,2,2,,London,SW11 6LR,51.4595144,-0.1612998
1178,1178,Pall Mall,2250000,Flat / Apartment,1297,2,2,2,St James's,London,SW1Y 5JH,51.5057482,-0.1369603
1179,1179,Connaught Avenue,2750000,House,4925,6,6,6,Loughton,Essex,IG10 4DS,51.64633569999999,0.0492911
1180,1180,Wollaton House,599950,Flat / Apartment,734,1,1,1, Islington,London,N1 0EY,51.5349594,-0.1084718
1181,1181,Aberdeen Road,650000,Flat / Apartment,667,1,1,1,,London,N5 2XA,51.55700059999999,-0.0951653
1182,1182,Sandilands Road,850000,House,900,2,2,2,Fulham,London,SW6 2BD,51.4741745,-0.1909218
1183,1183,Edenvale Street,825000,Flat / Apartment,1027,3,3,3,Fulham,London,SW6 2SF,51.4692235,-0.1871003
1184,1184,Linver Road,1850000,House,1678,5,5,5,Fulham,London,SW6 3RB,51.47155129999999,-0.2016232
1185,1185,Doulton House,1750000,Flat / Apartment,1390,3,3,3,11 Park Street,London,SW6 2FT,51.47524749999999,-0.1841256
1186,1186,Lilyville Road,3150000,House,3100,5,5,5,Fulham,London,SW6 5DP,51.4775759,-0.2051162
1187,1187,Second Avenue,599950,Flat / Apartment,1128,3,3,3,Acton,London,W3 7RX,51.5076787,-0.2482453
1188,1188,St. Marys Road,1995000,House,3605,6,6,6, Surbiton,Surrey,KT6 5EU,51.3866332,-0.3147719
1189,1189,Ember Lane,1595000,House,3304,6,6,6,Esher,Surrey,KT10 8DZ,51.38180029999999,-0.3543677
1190,1190,Cornwall Gardens,1195000,Flat / Apartment,752,2,2,2,,London,SW7 4BA,51.4964585,-0.1862796
1191,1191,Sheen Common Drive,2650000,House,2229,4,4,4,Richmond,Surrey,TW10 5BN,51.4610606,-0.281672
1192,1192,Aberdeen Wharf,950000,Flat / Apartment,973,2,2,2,94 Wapping High Street,London,E1W 2ND,51.502999,-0.0589462
1193,1193,Bishops Gate,1050000,New development,817,2,2,2,82-88 Fulham High Street,London,SW6 3LF,51.4698561,-0.2107322
1194,1194,Bishops Gate,695000,New development,678,2,2,2,82-88 Bishops Gate,Fulham High Street,SW6 3LF,51.4698561,-0.2107322
1195,1195,Montem Terrace,3895000,New development,4453,6,6,6,35A Arterberry Road,London,SW20 8AG,51.4161106,-0.2269824
1196,1196,Belvedere Heights,425000,Flat / Apartment,502,1,1,1, St. John's Wood,London,NW8 8HZ,51.5253355,-0.1701679
1197,1197,Ashley Gardens,1300000,House,2484,4,4,4,Richmond,Surrey,TW10 7BU,51.4394723,-0.3072022
1198,1198,West Hill,439000,Flat / Apartment,670,2,2,2,Putney,London,SW15 2UF,51.4548649,-0.2095334
1199,1199,Westbourne Park Road,4500000,House,2742,6,6,6,Notting Hill,London,W2 5PH,51.5181562,-0.1908369
1200,1200,Lynette Avenue,599950,Flat / Apartment,689,1,1,1,,London,SW4 9HD,51.4537816,-0.1438979
1201,1201,Ronalds Road,1500000,House,1327,4,4,4,Highbury,London,N5 1XB,51.5507527,-0.1036046
1202,1202,Cloudesley Street,625000,Flat / Apartment,513,1,1,1,Islington,London,N1 0HX,51.5363458,-0.1080105
1203,1203,Tottenham Road,499999,Flat / Apartment,700,1,1,1,De Beauvoir,London,N1 4BD,51.5455628,-0.0792445
1204,1204,Hertford Road,435000,Flat / Apartment,565,1,1,1,,London,N1 5SH,51.5387264,-0.0785661
1205,1205,Dartmouth Park Road,850000,Flat / Apartment,743,2,2,2,,London,NW5 1SN,51.55956399999999,-0.1428544
1206,1206,The Chase,2695000,House,3125,4,4,4,,London,SW4 0NH,51.4642122,-0.1461096
1207,1207,Wavendon Avenue,2250000,House,2389,5,5,5,Chiswick,London,W4 4NR,51.4892811,-0.264666
1208,1208,Chiswick,1700000,House,2033,5,5,5,,London,W4 3HA,51.4806211,-0.2652683
1209,1209,Old Brompton Road,3450000,House,2160,4,4,4,,London,SW7 3RA,51.4915743,-0.1798183
1210,1210,Castelnau,3250000,House,3098,5,5,5,Barnes,London,SW13 9ET,51.4835741,-0.2347523
1211,1211,Dorville Crescent,650000,Flat / Apartment,650,2,2,2,,London,W6 0HJ,51.4979779,-0.2351898
1212,1212,Television Centre,1395000,Flat / Apartment,981,2,2,2,101 Wood Lane,London,W12 7FT,51.5103516,-0.2262376
1213,1213,Alexander Court,475000,Flat / Apartment,705,2,2,2,Wandsworth Common West Side,London,SW18 2EJ,51.45756309999999,-0.1820778
1214,1214,Hotham Road,1250000,House,1810,3,3,3,Putney,London,SW15 1QJ,51.4654755,-0.2236737
1215,1215,Danemere Street,1150000,House,1468,3,3,3,Putney,London,SW15 1LT,51.4694027,-0.2240972
1216,1216,Meadowbank,625000,House,1213,4,4,4, Watford,Hertfordshire,WD19 4NP,51.6388372,-0.3949955000000001
1217,1217,Copperbeech Court,575000,Flat / Apartment,1092,2,2,2, Northwood,Middlesex,HA6 2YJ,51.6098864,-0.4252488
1218,1218,North Side Wandsworth Common,695000,Flat / Apartment,815,2,2,2,,London,SW18 2SL,51.4585751,-0.1771721
1219,1219,Manchuria Road,2100000,House,2325,5,5,5,,London,SW11 6AE,51.45426579999999,-0.1552061
1220,1220,Mandalay Road,750000,Flat / Apartment,838,2,2,2,,London,SW4 9ED,51.4553659,-0.1411564
1221,1221,Shelgate Road,1399000,House,1456,3,3,3,Battersea,London,SW11 1BQ,51.4596428,-0.1631804
1222,1222,Pearson Square,4750000,Penthouse,1774,3,3,3,Fitzrovia,London,W1T 3BJ,51.5196501,-0.1380359
1223,1223,Canonbury Lane,2275000,House,1969,4,4,4,Islington,London,N1 2AP,51.5434062,-0.1019632
1224,1224,Lofting Road,599950,Flat / Apartment,657,2,2,2,Islington,London,N1 1ET,51.541315,-0.1083379
1225,1225,Palewell Park,1995000,House,2707,5,5,5,East Sheen,London,SW14 8JH,51.4616248,-0.2650094
1226,1226,Kings Road,899000,House,1109,3,3,3,,London,SW14 8PF,51.4660947,-0.2601897
